;;Issue;Datatype;Type;Group;Path;Name/Label;Description;Data Range;Unit
;;;enum;Sensor;;Trailer.Chassis.Brake.ROP.Status;ROP system status;This parameter indicates whether the ROP system is currently enabled or disabled.;"DISABLED
ENABLED
ERROR
NOT_AVAILABLE"; 
;;;float;Attribute;Specification;Trailer.Specification.TotalRearHeight;"total height over ground of the vehicle at the rear of the vehicle, this refers to the rear end of the cargo put directly on the vehicle; this data is dynamic and indicates the current rear total height";"total height over ground of the vehicle at the rear of the vehicle, this refers to the rear end of the cargo put directly on the vehicle; this data is dynamic and indicates the current rear total height";0 -5,00 ;Meter
;;;float;Attribute;Specification;Trailer.Specification.TotalFrontHeight;total height over ground at the front of the vehicle;total height over ground at the front of the vehicle;0 - 5,00 ;Meter
;;;enum;Sensor;;Trailer.Chassis.Brake.YawControl.Status;YC system status;This parameter indicates whether the YC system is currently enabled or disabled.;"DISABLED
ENABLED
ERROR
NOT_AVAILABLE"; 
;;;enum;Sensor;;Trailer.MotionManagement.Suspension.TractionHelp.Status;Traction help (load transfer) status;This parameter indicates the current status of the traction help function.;"INACTIVE
ACTIVE
ERROR
NOT_AVAILABLE"; 
;;;float;Attribute;Specification;Trailer.Specification.GroundHeight;height over ground for the floor inside the vehicle at the front end of the floor;height over ground for the floor inside the vehicle at the front end of the floor;0 - 5,00 ;Meter
;;;float;Sensor;Cargo;Trailer.Cargo.Hold1.Temperature;Cargo hold temperature 1;"This parameter indicates the value of the cargo hold temperature 1 measured by the
temperature recorder.";-40 °C to +40 °C;Celsius
;;;float;Sensor;Cargo;Trailer.Cargo.Hold2.Temperature;Cargo hold temperature 2;"This parameter indicates the value of the cargo hold temperature 2 measured by the
temperature recorder.";-40 °C to +40 °C;Celsius
;;;float;Sensor;Cargo;Trailer.Cargo.Hold3.Temperature;Cargo hold temperature 3;"This parameter indicates the value of the cargo hold temperature 3 measured by the
temperature recorder.";-40 °C to +40 °C;Celsius
;;;float;Sensor;Cargo;Trailer.Cargo.Hold4.Temperature;Cargo hold temperature 4;"This parameter indicates the value of the cargo hold temperature 4 measured by the
temperature recorder.";-40 °C to +40 °C;Celsius
;;;float;Sensor;Cargo;Trailer.Cargo.Hold5.Temperature;Cargo hold temperature 5;"This parameter indicates the value of the cargo hold temperature 5 measured by the
temperature recorder.";-40 °C to +40 °C;Celsius
;;;float;Sensor;Cargo;Trailer.Cargo.Hold6.Temperature;Cargo hold temperature 6;"This parameter indicates the value of the cargo hold temperature 6 measured by the
temperature recorder.";-40 °C to +40 °C;Celsius
;;;float;Sensor;Reefer;Trailer.Reefer.Voltage;Reefer unit battery voltage;This parameter indicates the value of the reefer unit battery voltage.;0 - 642,55 ;Volt
;;;float;Sensor;Reefer;Trailer.Reefer.Fuel.Level;Reefer unit fuel tank level;This parameter indicates the value of the reefer unit fuel tank level.;0 - 125 ;Percentage
;;;enum;Sensor;Reefer;Trailer.Reefer.Alarm.Status;Reefer unit alarm status;This parameter indicates the reefer unit alarm status.;"WARNING_OFF
WARNING_ON
SHUTDOWN_ALARM_ON"; 
;;;enum;Sensor;Reefer;Trailer.Reefer.Evaporator1.Status;Status evaporator 1;This parameter indicates the status evaporator 1.;"STANDBY
COOLING
HEATING
DEFROST"; 
;;;enum;Sensor;Reefer;Trailer.Reefer.Evaporator2.Status;Status evaporator 2;This parameter indicates the status evaporator 2;"STANDBY
COOLING
HEATING
DEFROST"; 
;;;enum;Sensor;Reefer;Trailer.Reefer.Evaporator3.Status;Status evaporator 3;This parameter indicates the status evaporator 3;"STANDBY
COOLING
HEATING
DEFROST"; 
;;;enum;Sensor;Reefer;Trailer.Reefer.Status;Reefer unit status;This parameter indicates the reefer unit status.;"OFF
ON"; 
